id_tabela,coluna,chave,cobertura_temporal,valor
microdados,local_nascimento,1,(1),Hospital
microdados,local_nascimento,2,(1),Outros estabelecimentos de saúde
microdados,local_nascimento,3,(1),Domicílio
microdados,local_nascimento,4,(1),Outros
microdados,local_nascimento,9,(1),Ignorado
microdados,sexo,0,(1),Ignorado
microdados,sexo,1,(1),Masculino
microdados,sexo,2,(1),Feminino
microdados,raca_cor,1,(1),Branca
microdados,raca_cor,2,(1),Preta
microdados,raca_cor,3,(1),Amarela
microdados,raca_cor,4,(1),Parda
microdados,raca_cor,5,(1),Indígena
microdados,apgar1,99,(1),Ignorado
microdados,apgar5,99,(1),Ignorado
microdados,id_anomalia,1,"1997, 1999(1)",Sim
microdados,id_anomalia,2,"1997, 1999(1)",Não
microdados,id_anomalia,9,"1997, 1999(1)",Ignorado
microdados,semana_gestacao_estimada,1,2010(1),Exame físico
microdados,semana_gestacao_estimada,2,(1),Outro método
microdados,semana_gestacao_estimada,9,(1),Ignorado
microdados,gestacao_agr,1,(1),Menos de 22 semanas
microdados,gestacao_agr,2,(1),22 a 27 semanas
microdados,gestacao_agr,3,(1),28 a 31 semanas
microdados,gestacao_agr,4,(1),32 a 36 semanas
microdados,gestacao_agr,5,(1),37 a 41 semanas
microdados,gestacao_agr,6,(1),42 semanas e mais
microdados,gestacao_agr,9,(1),Ignorado
microdados,tipo_gravidez,1,(1),Única
microdados,tipo_gravidez,2,(1),Dupla
microdados,tipo_gravidez,3,(1),Tripla ou mais
microdados,tipo_gravidez,9,(1),Ignorado
microdados,tipo_parto,1,(1),Vaginal
microdados,tipo_parto,2,(1),Cesário
microdados,tipo_parto,9,(1),Ignorado
microdados,pre_natal_agr,1,(1),Nenhuma consulta
microdados,pre_natal_agr,2,(1),de 1 a 3 consultas
microdados,pre_natal_agr,3,(1),de 4 a 6 consultas
microdados,pre_natal_agr,4,(1),7 e mais consultas
microdados,pre_natal_agr,9,(1),Ignorado
microdados,classificacao_pre_natal,1,2014(1),Não fez pré-natal
microdados,classificacao_pre_natal,2,2014(1),Inadequado
microdados,classificacao_pre_natal,3,2014(1),Intermediário
microdados,classificacao_pre_natal,4,2014(1),Adequado
microdados,classificacao_pre_natal,5,2014(1),Mais que adequado
microdados,classificacao_pre_natal,6,2014(1),Não Classificados
microdados,id_pais_mae,1,2010(1),ABU DABI
microdados,id_pais_mae,2,2010(1),ACORES
microdados,id_pais_mae,3,2010(1),AFEGANISTAO
microdados,id_pais_mae,4,2010(1),AFRICA DO SUL
microdados,id_pais_mae,5,2010(1),AIMAN
microdados,id_pais_mae,6,2010(1),ALBANIA
microdados,id_pais_mae,8,2010(1),ALEMANHA
microdados,id_pais_mae,9,2010(1),ANDORRA
microdados,id_pais_mae,10,2010(1),ANGOLA
microdados,id_pais_mae,11,2010(1),ANTILHAS HOLANDESAS
microdados,id_pais_mae,12,2010(1),ANGUILLA
microdados,id_pais_mae,13,2010(1),ANTIGUA
microdados,id_pais_mae,14,2010(1),ARABIA SAUDITA
microdados,id_pais_mae,15,2010(1),ARGELIA
microdados,id_pais_mae,16,2010(1),ARGENTINA
microdados,id_pais_mae,17,2010(1),ARMENIA
microdados,id_pais_mae,18,2010(1),ARUBA
microdados,id_pais_mae,19,2010(1),AUSTRALIA
microdados,id_pais_mae,20,2010(1),AUSTRIA
microdados,id_pais_mae,21,2010(1),AZERBAIDJAO
microdados,id_pais_mae,22,2010(1),BAHAMAS
microdados,id_pais_mae,23,2010(1),"BAHREIN, ILHA"
microdados,id_pais_mae,24,2010(1),"BALEARES, ILHAS"
microdados,id_pais_mae,25,2010(1),BANGLADESH
microdados,id_pais_mae,26,2010(1),BARBADOS
microdados,id_pais_mae,27,2010(1),BELGICA
microdados,id_pais_mae,28,2010(1),BELIZE
microdados,id_pais_mae,29,2010(1),BENIN
microdados,id_pais_mae,30,2010(1),BERMUDAS
microdados,id_pais_mae,31,2010(1),BIELORRUSSIA
microdados,id_pais_mae,32,2010(1),BIRMANIA
microdados,id_pais_mae,33,2010(1),BOLIVIA
microdados,id_pais_mae,34,2010(1),BONAIRE
microdados,id_pais_mae,35,2010(1),BOTSWANA
microdados,id_pais_mae,36,2010(1),BRUNEI
microdados,id_pais_mae,37,2010(1),BULGARIA
microdados,id_pais_mae,38,2010(1),BURUNDI
microdados,id_pais_mae,39,2010(1),BURKINA FASSO(ALTO VOLTA)
microdados,id_pais_mae,40,2010(1),BUTAO
microdados,id_pais_mae,41,2010(1),CABO VERDE
microdados,id_pais_mae,42,2010(1),"CAICOS, ILHA"
microdados,id_pais_mae,43,2010(1),CAMEROON
microdados,id_pais_mae,44,2010(1),CAMBOJA
microdados,id_pais_mae,44,2010(1),LAOS
microdados,id_pais_mae,45,2010(1),CANADA
microdados,id_pais_mae,46,2010(1),CANARIAS
microdados,id_pais_mae,47,2010(1),"CAROLINAS, ILHAS"
microdados,id_pais_mae,48,2010(1),CASAQUISTAO
microdados,id_pais_mae,49,2010(1),"CAYMAN, ILHAS"
microdados,id_pais_mae,50,2010(1),CEUTA E MELILLA
microdados,id_pais_mae,51,2010(1),CHADE
microdados,id_pais_mae,52,2010(1),CHILE
microdados,id_pais_mae,53,2010(1),CHINA
microdados,id_pais_mae,54,2010(1),CHIPRE
microdados,id_pais_mae,55,2010(1),"CHRISTMAS, ILHA"
microdados,id_pais_mae,56,2010(1),CINGAPURA
microdados,id_pais_mae,57,2010(1),"COCOS, ILHAS"
microdados,id_pais_mae,58,2010(1),COLOMBIA
microdados,id_pais_mae,59,2010(1),"COMORES, ILHAS"
microdados,id_pais_mae,60,2010(1),CONGO
microdados,id_pais_mae,61,2010(1),"COOK, ILHAS"
microdados,id_pais_mae,62,2010(1),COREIA DO NORTE
microdados,id_pais_mae,63,2010(1),COREIA DO SUL
microdados,id_pais_mae,64,2010(1),COSTA DO MARFIM
microdados,id_pais_mae,65,2010(1),COSTA RICA
microdados,id_pais_mae,66,2010(1),CUBA
microdados,id_pais_mae,67,2010(1),CURACAO
microdados,id_pais_mae,68,2010(1),DINAMARCA
microdados,id_pais_mae,69,2010(1),DJIBUTI
microdados,id_pais_mae,70,2010(1),DOMINICA
microdados,id_pais_mae,71,2010(1),DUBAI
microdados,id_pais_mae,72,2010(1),EGITO
microdados,id_pais_mae,73,2010(1),EIRE
microdados,id_pais_mae,73,2010(1),IRLANDA
microdados,id_pais_mae,74,2010(1),EL SALVADOR
microdados,id_pais_mae,75,2010(1),EQUADOR
microdados,id_pais_mae,76,2010(1),ESCOCIA
microdados,id_pais_mae,77,2010(1),ESPANHA
microdados,id_pais_mae,78,2010(1),ESTADOS UNIDOS
microdados,id_pais_mae,79,2010(1),ESTONIA
microdados,id_pais_mae,80,2010(1),ETIOPIA
microdados,id_pais_mae,81,2010(1),"FALKLAND, ILHAS"
microdados,id_pais_mae,81,2010(1),"MALVINAS, ILHAS"
microdados,id_pais_mae,82,2010(1),"FAROE, ILHAS"
microdados,id_pais_mae,83,2010(1),FIJI
microdados,id_pais_mae,84,2010(1),FILIPINAS
microdados,id_pais_mae,85,2010(1),FINLANDIA
microdados,id_pais_mae,86,2010(1),FORMOSA
microdados,id_pais_mae,87,2010(1),FRANCA
microdados,id_pais_mae,88,2010(1),FUJAIRA
microdados,id_pais_mae,89,2010(1),"FUTUNA, ILHAS"
microdados,id_pais_mae,90,2010(1),GABAO
microdados,id_pais_mae,91,2010(1),"GALAPAGOS, ILHAS"
microdados,id_pais_mae,92,2010(1),"GALES, (PAIS DE)"
microdados,id_pais_mae,93,2010(1),GAMBIA
microdados,id_pais_mae,94,2010(1),GANA
microdados,id_pais_mae,95,2010(1),GEORGIA
